command,mean,stddev,median,user,system,min,max
exes/guiicons_ret0,0.0005555549,0.00020839431063371196,0.0004701119,0.00017741999999999996,0.00030836,0.0004146689,0.0009235569000000002
/home/mschnei2/pin//pin -- exes/guiicons_ret0,0.18033231830000002,0.03361006570797595,0.1944456349,0.11716142,0.06540615999999999,0.1202935749,0.1979053469
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/guiicons_ret0,1.1292031727,0.03652878309843272,1.1382184689000001,1.03417262,0.09718136,1.0658881009,1.1591073399
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/guiicons_ret0,0.42155794269999997,0.05720653273509789,0.4174590389,0.26135801999999997,0.11468076,0.3702849409,0.5131432369
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/guiicons_ret0,0.20923598710000002,0.05692800917784218,0.1819977869,0.16230982,0.04948756,0.1718282389,0.3070170749
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/guiicons_ret0,0.14106382229999997,0.0020175601680919716,0.1412583559,0.09113582,0.051805559999999994,0.1383320609,0.1434983389
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/guiicons_ret0,0.6136760835,0.1415193388497459,0.5584946869,0.23852041999999996,0.14656876000000002,0.48940622990000004,0.8515029089
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/guiicons_ret0,0.22421034410000001,0.060650486234863674,0.2299887609,0.15606921999999998,0.07038216,0.1553582369,0.28454367690000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/guiicons_ret0,0.8880845433000001,0.11351928871278766,0.8280013079,0.8207102199999999,0.06970856,0.8228046499,1.0872652749
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/guiicons_ret0,1.3830657751,0.27885300597697843,1.2337632519000001,1.27662782,0.10757396,1.1097202149,1.6915804559
